sourceNeuron;targetNeuron;w
0;0;-0.12183158099651337
0;9;0.24812664091587067
0;18;0.21465706825256348
0;27;0.0942857414484024
0;36;0.23685841262340546
0;45;-0.2395172119140625
0;54;0.40147334337234497
0;63;0.17215222120285034
1;0;0.09812726825475693
1;9;0.3749452531337738
1;18;0.01401757262647152
1;27;-0.09962142258882523
1;36;0.20503351092338562
1;45;-0.20053614675998688
1;54;-1.4946043491363525
1;63;0.6863235831260681
1;1;-0.12183158099651337
1;10;0.24812664091587067
1;19;0.21465706825256348
1;28;0.0942857414484024
1;37;0.23685841262340546
1;46;-0.2395172119140625
1;55;0.40147334337234497
1;64;0.17215222120285034
2;0;-0.4434586465358734
2;9;-0.49205541610717773
2;18;-0.4547809362411499
2;27;0.03805860877037048
2;36;0.08373167365789413
2;45;-0.13635492324829102
2;54;0.06562218070030212
2;63;0.4050241708755493
2;1;0.09812726825475693
2;10;0.3749452531337738
2;19;0.01401757262647152
2;28;-0.09962142258882523
2;37;0.20503351092338562
2;46;-0.20053614675998688
2;55;-1.4946043491363525
2;64;0.6863235831260681
2;2;-0.12183158099651337
2;11;0.24812664091587067
2;20;0.21465706825256348
2;29;0.0942857414484024
2;38;0.23685841262340546
2;47;-0.2395172119140625
2;56;0.40147334337234497
2;65;0.17215222120285034
3;1;-0.4434586465358734
3;10;-0.49205541610717773
3;19;-0.4547809362411499
3;28;0.03805860877037048
3;37;0.08373167365789413
3;46;-0.13635492324829102
3;55;0.06562218070030212
3;64;0.4050241708755493
3;2;0.09812726825475693
3;11;0.3749452531337738
3;20;0.01401757262647152
3;29;-0.09962142258882523
3;38;0.20503351092338562
3;47;-0.20053614675998688
3;56;-1.4946043491363525
3;65;0.6863235831260681
4;2;-0.4434586465358734
4;11;-0.49205541610717773
4;20;-0.4547809362411499
4;29;0.03805860877037048
4;38;0.08373167365789413
4;47;-0.13635492324829102
4;56;0.06562218070030212
4;65;0.4050241708755493
5;0;-0.6458497047424316
5;9;0.24779656529426575
5;18;-0.057577863335609436
5;27;0.08910726755857468
5;36;-0.34744027256965637
5;45;-0.029870230704545975
5;54;0.008031423203647137
5;63;-0.3257092535495758
5;3;-0.12183158099651337
5;12;0.24812664091587067
5;21;0.21465706825256348
5;30;0.0942857414484024
5;39;0.23685841262340546
5;48;-0.2395172119140625
5;57;0.40147334337234497
5;66;0.17215222120285034
6;0;-0.12136081606149673
6;9;-0.010594380088150501
6;18;-0.02380470000207424
6;27;-0.21156828105449677
6;36;0.28398364782333374
6;45;0.07610068470239639
6;54;0.09002327173948288
6;63;0.0893876776099205
6;1;-0.6458497047424316
6;10;0.24779656529426575
6;19;-0.057577863335609436
6;28;0.08910726755857468
6;37;-0.34744027256965637
6;46;-0.029870230704545975
6;55;0.008031423203647137
6;64;-0.3257092535495758
6;3;0.09812726825475693
6;12;0.3749452531337738
6;21;0.01401757262647152
6;30;-0.09962142258882523
6;39;0.20503351092338562
6;48;-0.20053614675998688
6;57;-1.4946043491363525
6;66;0.6863235831260681
6;4;-0.12183158099651337
6;13;0.24812664091587067
6;22;0.21465706825256348
6;31;0.0942857414484024
6;40;0.23685841262340546
6;49;-0.2395172119140625
6;58;0.40147334337234497
6;67;0.17215222120285034
7;0;0.40766245126724243
7;9;0.016026906669139862
7;18;0.47640225291252136
7;27;-0.1975979506969452
7;36;-0.08302116394042969
7;45;-0.7541444301605225
7;54;-0.2827000021934509
7;63;0.6315658688545227
7;1;-0.12136081606149673
7;10;-0.010594380088150501
7;19;-0.02380470000207424
7;28;-0.21156828105449677
7;37;0.28398364782333374
7;46;0.07610068470239639
7;55;0.09002327173948288
7;64;0.0893876776099205
